;Unnamed: 0;PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked;FamilySize;IsAlone
0;3;4;0;1;0;46.0;1;0;61.175;S;2;0
1;7;8;0;1;0;71.0;0;0;34.6542;C;1;1
2;8;9;1;1;0;23.0;0;1;63.3583;C;2;0
3;13;14;0;1;0;21.0;0;1;77.2875;S;2;0
4;21;22;0;1;0;47.0;0;0;52.0;S;1;1
5;29;30;0;1;0;24.0;0;1;247.5208;C;2;0
6;34;35;1;2;1;32.5;0;0;13.0;S;1;1
7;35;36;0;1;0;54.0;0;1;77.2875;S;2;0
8;47;48;1;1;1;19.0;0;2;26.2833;S;3;0
9;48;49;0;1;0;37.0;1;0;53.1;S;2;0
10;50;51;0;1;0;24.0;0;0;79.2;C;1;1
11;59;60;0;2;0;36.5;0;2;26.0;S;3;0
12;62;63;1;1;1;22.0;1;0;66.6;S;2;0
13;81;82;0;1;0;61.0;0;0;33.5;S;1;1
14;85;86;0;1;0;56.0;0;0;30.6958;C;1;1
15;88;89;0;1;1;50.0;0;0;28.7125;C;1;1
16;94;95;1;2;0;1.0;2;1;39.0;S;4;0
17;104;105;1;2;0;3.0;1;1;26.0;S;3;0
18;105;106;1;1;1;44.0;0;0;27.7208;C;1;1
19;106;107;1;1;1;58.0;0;0;146.5208;C;1;1
20;116;117;0;3;1;2.0;0;1;10.4625;S;2;0
21;120;121;1;1;0;40.0;0;0;31.0;C;1;1
22;126;127;1;1;1;31.0;1;0;113.275;C;2;0
23;129;130;1;1;1;32.0;0;0;76.2917;C;1;1
24;135;136;1;1;0;38.0;1;0;90.0;S;2;0
25;141;142;1;1;1;35.0;1;0;83.475;S;2;0
26;156;157;0;1;0;44.0;2;0;90.0;Q;3;0
27;159;160;1;1;0;37.0;1;1;52.5542;S;3;0
28;162;163;0;3;1;29.0;1;1;10.4625;S;3;0
29;163;164;0;1;0;62.0;0;0;26.55;S;1;1
30;168;169;1;1;1;30.0;0;0;86.5;S;1;1
31;173;174;0;1;0;52.0;1;1;79.65;S;3;0
32;174;175;0;1;0;40.0;0;0;0.0;S;1;1
33;179;180;1;1;1;58.0;0;1;153.4625;S;2;0
34;180;181;1;1;1;35.0;0;0;135.6333;S;1;1
35;184;185;0;1;0;37.0;0;1;29.7;C;2;0
36;186;187;1;1;1;63.0;1;0;77.9583;S;2;0
37;202;203;1;1;1;19.0;1;0;91.0792;C;2;0
38;203;204;0;2;0;36.0;0;0;12.875;C;1;1
39;208;209;0;1;1;2.0;1;2;151.55;S;4;0
40;210;211;1;1;1;50.0;0;1;247.5208;C;2;0
41;216;217;1;1;0;0.92;1;2;151.55;S;4;0
42;218;219;1;1;1;17.0;1;0;108.9;C;2;0
43;220;221;1;1;1;30.0;0;0;56.9292;C;1;1
44;221;222;1;1;1;24.0;0;0;83.1583;C;1;1
45;222;223;1;1;1;18.0;2;2;262.375;C;5;0
46;229;230;1;1;1;31.0;0;2;164.8667;S;3;0
47;230;231;1;1;1;40.0;1;1;134.5;C;3;0
48;236;237;1;1;1;36.0;0;0;135.6333;C;1;1
49;238;239;1;2;1;36.0;0;0;13.0;S;1;1
50;240;241;1;1;1;16.0;0;1;57.9792;C;2;0
51;242;243;0;1;0;45.5;0;0;28.5;S;1;1
52;243;244;0;1;0;38.0;0;1;153.4625;S;2;0
53;247;248;0;1;0;29.0;1;0;66.6;S;2;0
54;248;249;1;1;1;41.0;0;0;134.5;C;1;1
55;250;251;0;1;0;45.0;0;0;35.5;S;1;1
56;251;252;1;2;0;2.0;1;1;26.0;S;3;0
57;252;253;1;1;1;24.0;3;2;263.0;S;6;0
58;256;257;1;2;1;24.0;0;0;13.0;S;1;1
59;267;268;1;1;1;22.0;0;1;55.0;S;2;0
60;277;278;1;1;1;60.0;1;0;75.25;C;2;0
61;280;281;1;1;1;24.0;0;0;69.3;C;1;1
62;281;282;1;1;0;25.0;1;0;55.4417;C;2;0
63;288;289;0;1;0;27.0;0;2;211.5;C;3;0
64;301;302;1;1;0;36.0;1;2;120.0;S;4;0
65;304;305;1;1;1;23.0;1;0;113.275;C;2;0
66;305;306;1;3;1;24.0;0;2;16.7;S;3;0
67;323;324;1;1;1;33.0;1;0;90.0;Q;2;0
68;340;341;1;3;0;32.0;0;0;8.05;S;1;1
69;341;342;1;1;0;28.0;0;0;26.55;S;1;1
70;345;346;0;1;0;50.0;1;0;55.9;S;2;0
71;346;347;1;1;1;14.0;1;2;120.0;S;4;0
72;349;350;0;1;0;64.0;1;4;263.0;S;6;0
73;356;357;1;1;0;4.0;0;2;81.8583;S;3;0
74;360;361;1;1;0;52.0;0;0;30.5;S;1;1
75;363;364;0;1;0;30.0;0;0;27.75;C;1;1
76;364;365;1;1;0;49.0;1;0;89.1042;C;2;0
77;367;368;0;1;0;65.0;0;0;26.55;S;1;1
78;371;372;1;1;0;48.0;0;0;26.55;S;1;1
79;373;374;0;1;0;47.0;0;0;38.5;S;1;1
80;384;385;1;2;1;23.0;0;0;13.7917;C;1;1
